Michael Turner#mturner91@gmail.com#8035551289
Sarah Whitfield#swhitfield22@yahoo.com#7064459821
Brandon Pierce#bpierce07@outlook.com#9176624431
Emily Harper#emharper3@gmail.com#6782239044
Daniel Ortiz#dortiz88@hotmail.com#5129037784
Alyssa Monroe#alyssam23@gmail.com#4056325590
Kevin Briggs#kbriggs14@yahoo.com#2167749088
Julia Simmons#jsimmons94@gmail.com#8433357729
Marcus Delgado#mdelgado21@outlook.com#9015564472
Tina Caldwell#tcaldwell77@gmail.com#7029943186
Robert McAllister#rmcallister55@yahoo.com#4786639921
Samantha Jordan#sjordan03@gmail.com#2159076642
